Commodity,Planted All Purpose Acres,Harvested Acres,Yield,Production,Price per Unit,Value of Production in Dollars
HAY & HAYLAGE,,"1,190,000","5.93 TONS / ACRE, DRY BASIS","7,060,000 TONS, DRY BASIS",,"1,298,692,000"
"HAY & HAYLAGE, ALFALFA","80,000","610,000","7.06 TONS / ACRE, DRY BASIS","4,308,000 TONS, DRY BASIS",,"883,140,000"
"HAY & HAYLAGE, (EXCL ALFALFA)",,"580,000","4.74 TONS / ACRE, DRY BASIS","2,752,000 TONS, DRY BASIS",,"415,552,000"
"TOMATOES, IN THE OPEN","255,000","247,700",935 CWT / ACRE,"231,599,500 CWT",,"1,174,395,000"
"TOMATOES, IN THE OPEN, PROCESSING",,,,,,"894,900,000"
"TOMATOES, IN THE OPEN, FRESH MARKET",,,,,,"279,495,000"
TOMATOES,,,,,5.1 $ / CWT,
"TOMATOES, IN THE OPEN, UTILIZED",,,,"230,209,900 CWT",,
"TOMATOES, PROCESSING",,,,,80 $ / TON,
"TOMATOES, FRESH MARKET",,,,,43.1 $ / CWT,
HAY,,"1,010,000",5.74 TONS / ACRE,"5,795,000 TONS",193 $ / TON,"1,097,417,000"
ALFALFA,,"580,000",7.1 TONS / ACRE,"4,118,000 TONS",205 $ / TON,"844,190,000"
"HAY, (EXCL ALFALFA)",,"430,000",3.9 TONS / ACRE,"1,677,000 TONS",151 $ / TON,"253,227,000"
"LETTUCE, HEAD, FRESH MARKET",,,,,30.2 $ / CWT,"874,290,000"
"LETTUCE, HEAD","77,500","77,200",375 CWT / ACRE,"28,950,000 CWT",30.2 $ / CWT,"874,290,000"
"LETTUCE, ROMAINE, FRESH MARKET",,,,,27.5 $ / CWT,"531,432,000"
"LETTUCE, ROMAINE","65,800","64,000",305 CWT / ACRE,"19,520,000 CWT",27.5 $ / CWT,"531,432,000"
"LETTUCE, LEAF, FRESH MARKET",,,,,41 $ / CWT,"418,713,000"
"LETTUCE, LEAF","48,000","47,500",215 CWT / ACRE,"10,212,500 CWT",41 $ / CWT,"418,713,000"
"LETTUCE, ROMAINE, UTILIZED",,,,"19,324,800 CWT",,
"LETTUCE, LEAF, UTILIZED",,,,"10,212,500 CWT",,
"LETTUCE, HEAD, UTILIZED",,,,"28,950,000 CWT",,
CARROTS,"70,200","69,900",620 CWT / ACRE,"43,338,000 CWT",19.1 $ / CWT,"827,126,000"
